Timestamp,PerConfig,Per100,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
132961430247431571,0,0,25,5,2005,-14,60,False,6,0,6,True,154,253,263841224,3531698935
132961430248429480,0,0,25,6,2006,-13,60,False,7,0,7,True,119,148,3531698935,515086452
132961430249433261,0,0,25,7,2007,-12,60,False,8,0,8,True,72,85,515086452,1021539344
132961430250422331,0,0,25,8,2008,-11,60,False,9,0,9,True,156,141,1021539344,1534276539
132961430251421448,0,0,25,9,2009,-10,60,False,10,0,10,True,188,167,1534276539,4225193153
132961430252421441,0,0,25,10,2010,-9,60,False,11,0,11,True,192,105,4225193153,2680931039
132961430253415478,0,0,25,11,2011,-8,60,False,12,0,12,True,143,210,2680931039,3821198068
132961430254412968,0,0,25,12,2012,-7,60,False,13,0,13,True,200,109,3821198068,3333533055
132961430255410561,0,0,25,13,2013,-6,60,False,14,0,14,True,246,127,3333533055,3756345482
132961430256408974,0,0,25,14,2014,-5,60,False,15,0,15,True,70,18,3756345482,364380949
132961430257404300,0,0,25,15,2015,-4,60,False,16,0,16,True,31,105,364380949,3283420129
132961430258401197,0,0,25,16,2016,-3,60,False,17,0,17,True,215,111,3283420129,2109694035
132961430259396025,0,0,25,17,2017,-2,60,False,18,0,18,True,159,122,2109694035,1323037321
132961430260393687,0,0,25,18,2018,-1,60,False,19,0,19,True,142,42,1323037321,2932232616
132961430261390302,0,0,25,19,2019,0,60,True,19,0,20,True,69,173,2932232616,959586516
132961430262376506,0,0,25,20,2020,1,60,True,19,0,21,True,69,173,959586516,369227209
132961430263372139,0,0,25,21,2021,2,60,True,19,0,22,True,69,173,369227209,159028224
132961430264369397,0,0,25,22,2022,3,60,True,19,0,23,True,69,173,159028224,1188080670
132961430265365209,0,0,25,23,2023,4,60,True,19,0,24,True,69,173,1188080670,3414165203
132961430266364043,0,0,25,24,2024,5,60,True,19,0,25,True,69,173,3414165203,1215546913
132961430267355746,0,0,25,25,2025,6,60,True,19,0,26,True,69,173,1215546913,117655301
132961430268352736,0,0,25,26,2026,7,60,True,19,0,27,True,69,173,117655301,1694089972
132961430269352997,0,0,25,27,2027,8,60,True,19,0,28,True,69,173,1694089972,1927849080
132961430270351507,0,0,25,28,2028,9,60,True,19,0,29,True,69,173,1927849080,881403043
132961430271342565,0,0,25,29,2029,10,60,True,19,0,30,True,69,173,881403043,290148888
132961430272338768,0,0,25,30,2030,11,60,True,19,0,31,True,69,173,290148888,2155938634
132961430273336484,0,0,25,31,2031,12,60,True,19,0,32,True,69,173,2155938634,3428832667
132961430274343216,0,0,25,32,2032,13,60,True,19,0,33,True,69,173,3428832667,12750172
132961430275323426,0,0,25,33,2033,14,60,True,19,0,34,True,69,173,12750172,1038962027
132961430276321005,0,0,25,34,2034,15,60,True,19,0,35,True,69,173,1038962027,3472014867
132961430277320519,0,0,25,35,2035,16,60,True,19,0,36,True,69,173,3472014867,410824228
132961430278314307,0,0,25,36,2036,17,60,True,19,0,37,True,69,173,410824228,516815495
132961430279311471,0,0,25,37,2037,18,60,True,19,0,38,True,69,173,516815495,390411510
132961430280311032,0,0,25,38,2038,19,60,True,19,0,39,True,69,173,390411510,215561586
